"Prefab","Slot","Card"
"BlackKnight","1","DreadCleave"
"BlackKnight","2","DreadCleave"
"BlackKnight","3","BlackGuard"
"BlackKnight","4","CallTheDamned"
"BlackKnight","5","MoveInnate"
"EvilKing","1","ExecutionersBlow"
"EvilKing","2","ExecutionersBlow"
"EvilKing","3","RoyalGuard"
"EvilKing","4","RoyalGuard"
"EvilKing","5","RoyalCommand"
"EvilKing","6","MoveInnate"
"EvilKing","7","MoveInnate"
"EvilKnight","1","Riposte"
"EvilKnight","2","Riposte"
"EvilKnight","3","ShieldBash"
"EvilKnight","4","ShieldBash"
"EvilKnight","5","Rally"
"EvilKnight","6","MoveInnate"
"EvilKnight","7","MoveInnate"
"EvilWizard","1","DarkBolt"
"EvilWizard","2","DarkBolt"
"EvilWizard","3","ShadowWard"
"EvilWizard","4","ShadowWard"
"EvilWizard","5","SummonImp"
"EvilWizard","6","MoveInnate"
"EvilWizard","7","MoveInnate"
"EvilWizard2","1","ArcaneLance"
"EvilWizard2","2","ArcaneLance"
"EvilWizard2","3","VoidBarrier"
"EvilWizard2","4","VoidBarrier"
"EvilWizard2","5","CallTheSwarm"
"EvilWizard2","6","MoveInnate"
"EvilWizard2","7","MoveInnate"
"EvilWizard3","1","MeteorFall"
"EvilWizard3","2","MeteorFall"
"EvilWizard3","3","EmberShroud"
"EvilWizard3","4","EmberShroud"
"EvilWizard3","5","ConjureOoze"
"EvilWizard3","6","MoveInnate"
"EvilWizard3","7","MoveInnate"
"Reaper","1","SoulReap"
"Reaper","2","SoulReap"
"Reaper","3","DeathsToll"
"Reaper","4","DeathsToll"
"Reaper","5","RaiseDead"
"Reaper","6","MoveInnate"
"Reaper","7","MoveInnate"
"ReinforcedGolem","1","SeismicSlam"
"ReinforcedGolem","2","SeismicSlam"
"ReinforcedGolem","3","StoneSkin"
"ReinforcedGolem","4","StoneSkin"
"ReinforcedGolem","5","SplinterOff"
"ReinforcedGolem","6","MoveInnate"
"ReinforcedGolem","7","MoveInnate"
