"Key","Card Name","Class","Cost","Rarity","Source","Enemy Tiles","Ally Tiles","Damage","Heal","Shield","Block Total","Parry","Poison Total","Strength","Weaken","Draw","Move","Combo","Summons","Control","Quantifiable","Power","Power/Energy","Expected","Delta","Flag","Issues","Pw Common","Pw Uncommon","Pw Rare","Pw Legendary","Eff Knight","Eff Mage","Eff Rogue","Exp Plot","Pw Idea","Eff Cleric"
"Block","Block","Knight+Rogue","1","Uncommon","Knight","1","1","0","0","0","15","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Parry","Parry","Knight","1","Uncommon","Knight","1","1","0","0","0","0","1","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Shield","Shield","Knight","1","Common","Knight","1","1","0","0","7","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Steely Resolve","Steely Resolve","Knight","1","Uncommon","Knight","1","1","0","0","5","0","0","0","0","0","1","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Taunt","Taunt","Knight","1","Uncommon","Knight","1","1","0","0","0","0","0","0","0","0","0","0","0","","Taunt","No",,,,,,"",,,,,,,,,,
"Guardian's Aegis","Guardian's Aegis","Knight","2","Uncommon","Knight","1","13","0","0","5","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Strengthen","Strengthen","Knight","1","Uncommon","Knight","1","1","0","0","0","0","0","0","3","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Buff","Buff","Knight","2","Uncommon","Knight","1","1","0","0","0","0","0","0","0","0","0","0","1","","","Yes",,,,,,"",,,,,,,,,,
"Second Wind","Second Wind","Knight","1","Uncommon","Knight","1","1","0","5","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Attack and Block","Attack and Block","Knight","1","Uncommon","Knight","1","1","5","0","5","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Cleave","Cleave","Knight","1","Uncommon","Knight","3","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Slash","Slash","Knight","1","Common","Knight","1","1","9","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Slash+","Slash+","Knight","1","NotOffered","Knight","1","1","9","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Sunder","Sunder","Knight","1","Uncommon","Knight","1","1","5","0","0","0","0","0","0","0","0","0","0","","Vulnerable","Yes",,,,,,"",,,,,,,,,,
"Whirlwind","Whirlwind","Knight","1","Rare","Knight","9","1","4","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Bloodmoon Totem","Bloodmoon Totem","Knight","1","Rare","Knight","1","1","0","0","0","0","0","0","6","0","0","0","0","BloodmoonTotem [Chebyshev 0-2]: Strength 2 aura","","Partial",,,,,,"",,,,,,,,,,
"Anvil Totem","Anvil Totem","Knight","2","Uncommon","Knight","1","1","0","0","0","0","0","0","0","0","0","0","0","AnvilTotem [Chebyshev 0-2]: TurnTick 1 aura","TurnTick aura","No",,,,,,"",,,,,,,,,,
"Fury Totem","Fury Totem","Knight","2","Uncommon","Knight","1","1","0","0","0","0","0","0","3","0","0","0","0","FuryTotem [Chebyshev 0-2]: Strength 1 aura","","Partial",,,,,,"",,,,,,,,,,
"Momentum Totem","Momentum Totem","Knight","2","Uncommon","Knight","1","1","0","0","0","0","0","0","0","0","0","0","0","MomentumTotem [Chebyshev 0-2]: Strength 1 on trigger","Status:Strength","No",,,,,,"",,,,,,,,,,
"Rally Totem","Rally Totem","Knight","2","Uncommon","Knight","1","1","0","0","0","0","0","0","0","0","0","0","0","RallyTotem [Chebyshev 0-2]: TurnTick 1 aura","TurnTick aura","No",,,,,,"",,,,,,,,,,
"Thornwood Totem","Thornwood Totem","Knight","2","Uncommon","Knight","1","1","9","0","0","0","0","0","0","0","0","0","0","ThornwoodTotem [Chebyshev 0-2]: Damage 3 on trigger","","Partial",,,,,,"",,,,,,,,,,
"Whetstone Totem","Whetstone Totem","Knight","2","Uncommon","Knight","1","1","0","0","0","0","0","0","0","0","0","0","0","WhetstoneTotem [Chebyshev 0-2]: Unknown(22) 1 aura","Unknown(22) aura","No",,,,,,"",,,,,,,,,,
"Lodestone Totem","Lodestone Totem","Knight","3","Rare","Knight","1","1","0","0","0","0","0","0","0","0","0","0","0","LodestoneTotem [Chebyshev 0-2]: Taunt 1 aura, Rooted 1 aura","Taunt aura, Rooted aura","No",,,,,,"",,,,,,,,,,
"Shield Totem","Shield Totem","Knight","3","Rare","Knight","1","1","0","0","9","0","0","0","0","0","0","0","0","Totem [Chebyshev 0-2]: Shield 3 on trigger","","Partial",,,,,,"",,,,,,,,,,
"Twin Totem","Twin Totem","Knight","3","Rare","Knight","1","1","0","0","0","0","0","0","0","0","0","0","0","TwinTotem [Chebyshev 0-1]: DoubleNextAttack 1 aura","DoubleNextAttack aura","No",,,,,,"",,,,,,,,,,
"Adrenaline","Adrenaline","Knight","0","Rare","Knight","1","1","0","0","0","0","0","0","0","0","0","0","0","","","No",,,,,,"",,,,,,,,,,
"Bloodied Resolve","Bloodied Resolve","Knight","0","Rare","Knight","1","1","0","0","0","0","0","0","0","0","1","0","0","","","Partial",,,,,,"",,,,,,,,,,
"Dull Blade","Dull Blade","Mage","1","Common","Mage","1","1","0","0","0","0","0","0","0","1","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Entangle","Entangle","Mage","1","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","","Rooted","No",,,,,,"",,,,,,,,,,
"Freeze","Freeze","Mage","1","Rare","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","","Frozen","No",,,,,,"",,,,,,,,,,
"Rust Armor","Rust Armor","Mage","1","Common","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","","Vulnerable","No",,,,,,"",,,,,,,,,,
"Teleport","Teleport","Mage","1","Common","Mage","1","1","0","0","0","0","0","0","0","0","0","1","0","","","Yes",,,,,,"",,,,,,,,,,
"Fireball","Fireball","Mage","1","Rare","Mage","9","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Firebolt","Firebolt","Mage","1","Common","Mage","1","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Flame Cone","Flame Cone","Mage","1","Rare","Mage","5","1","4","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Ice Shard","Ice Shard","Mage","1","Rare","Mage","1","1","5","0","0","0","0","0","0","0","0","0","0","","Frozen","Partial",,,,,,"",,,,,,,,,,
"X-Burner","X-Burner","Mage","1","Rare","Mage","8","1","5","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Chaos Totem","Chaos Totem","Mage","1","Rare","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","ChaosTotem [Chebyshev 0-2]: Vulnerable 2 aura","Vulnerable aura","No",,,,,,"",,,,,,,,,,
"Binding Totem","Binding Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","BindingTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
"Conduit Totem","Conduit Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","3","0","0","ConduitTotem [Chebyshev 0-2]: Draw 1 on trigger","","Partial",,,,,,"",,,,,,,,,,
"Enfeeble Totem","Enfeeble Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","EnfeebleTotem [Chebyshev 0-2]: Potency 1 aura","Potency aura","No",,,,,,"",,,,,,,,,,
"Fracture Totem","Fracture Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","FractureTotem [Chebyshev 0-2]: Vulnerable 2 aura","Vulnerable aura","No",,,,,,"",,,,,,,,,,
"Ruin Totem","Ruin Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","RuinTotem [Chebyshev 0-2]: Potency 1 aura","Potency aura","No",,,,,,"",,,,,,,,,,
"Sap Totem","Sap Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","6","0","0","0","SapTotem [Chebyshev 0-2]: Weaken 2 aura","","Partial",,,,,,"",,,,,,,,,,
"Scholar Totem","Scholar Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","ScholarTotem [Chebyshev 0-2]: Energy 1 on trigger","EnergyEffect","No",,,,,,"",,,,,,,,,,
"Shackle Totem","Shackle Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","ShackleTotem [Chebyshev 0-2]: TurnTick 1 aura","TurnTick aura","No",,,,,,"",,,,,,,,,,
"SummonDrawTotem","Draw Totem","Mage","2","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","","","No",,,,,,"no effects",,,,,,,,,,
"WallOfFlames","Wall of Flames","Mage","2","Rare","Mage","3","1","8","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"WallOfForce","Wall of Force","Mage","2","Rare","Mage","3","3","0","0","0","0","0","0","0","0","0","0","0","","WallOfForce","No",,,,,,"",,,,,,,,,,
"Curse Totem","Curse Totem","Mage","3","Rare","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","CurseTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
"Hex Totem","Hex Totem","Mage","3","Rare","Mage","1","1","0","0","0","0","0","0","0","0","0","0","0","HexTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
"Foresight","Foresight","Mage","0","Uncommon","Mage","1","1","0","0","0","0","0","0","0","0","1","0","0","","","Partial",,,,,,"",,,,,,,,,,
"Dodge","Dodge","Rogue","1","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","","Dodge","No",,,,,,"",,,,,,,,,,
"Evasion","Evasion","Rogue","1","Uncommon","Rogue","1","1","0","0","0","10","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Stealth","Stealth","Rogue","1","Rare","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","","Stealth","No",,,,,,"",,,,,,,,,,
"Poison Blade","Poison Blade","Rogue","1","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","","PoisonBlade","No",,,,,,"",,,,,,,,,,
"Panache","Panache","Rogue","1","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","2","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Quick Attack","Quick Attack","Rogue","0","Uncommon","Rogue","1","1","3","0","0","0","0","0","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Poison Dagger","Poison Dagger","Any","1","Uncommon","Rogue","1","1","4","0","0","0","0","6","0","0","0","0","0","","","Yes",,,,,,"class 'Any' does not match Rogue/ folder",,,,,,,,,,
"Shambles","Shambles","Rogue","1","Rare","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","","Swap","No",,,,,,"",,,,,,,,,,
"Poison Dart","Poison Dart","Rogue","1","Common","Rogue","1","1","0","0","0","0","0","10","0","0","0","0","0","","","Yes",,,,,,"",,,,,,,,,,
"Decoy Totem","Decoy Totem","Rogue","1","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","DecoyTotem [Chebyshev 0-3]: Taunt 1 aura","Taunt aura","No",,,,,,"",,,,,,,,,,
"Contagion Totem","Contagion Totem","Rogue","2","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","ContagionTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
"Fortune Totem","Fortune Totem","Rogue","2","Uncommon","Rogue","1","1","0","0","0","0","0","0","0","0","0","0","0","FortuneTotem [Chebyshev 0-2]: GainMultiplier 1 aura","GainMultiplier aura","No",,,,,,"",,,,,,,,,,
