"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Rotatable","Animation","GUID","Sync","Notes"
"Blade Ward","1","Uncommon","Block 2","","","Give 2 Block.","Chebyshev","0","4","Blade Ward","Cleric","Buff (Defensive)","Defence","Tile","Single","","","","","","FALSE","FALSE","","0313f5e3f95e9704d8ddff8d29ecefcd","Live",""
"Vengeful Vigor","1","Uncommon","Lifesteal 1","","","Apply Lifesteal 1.","Chebyshev","0","4","Vengeful Vigor","Cleric","Buff (Offensive)","","Tile","Single","","","","","","FALSE","FALSE","","03b73a23f7ceebf41b9dc0773a7935bc","Live",""
"Purge","1","Common","Purge Poison","","","Remove all Poison from an ally and afflict the nearest enemy with it.","Chebyshev","1","4","Purge","Cleric","Debuff","","Tile","Single","","","","","","FALSE","FALSE","","0aca4faf7138a9c4db512e6cf3962233","Live",""
"Cleansing Light","1","Common","Cleanse Poison Heal","","","Remove all Poison from an ally and heal them for the stacks removed.","Chebyshev","0","4","Cleansing Light","Cleric","Heal","","Tile","Single","","","","","","FALSE","FALSE","","09e3ae3a175a86a44b79648130db2fbf","Live",""
"Touch Heal","1","Common","Heal 10","","","Heal 10.","Chebyshev","0","4","Cure Wounds","Cleric","Heal","Healing","Tile","Single","","","","","","FALSE","FALSE","","b2d16f22e3045c1baf6d28e51c2f6004","Live",""
"Heal Word","1","Common","Heal 5","","","Heal 5.","Chebyshev","0","4","Heal Word","Cleric","Heal","Healing","Tile","Single","","","","","","FALSE","FALSE","","b0de35f4e0b135845b19e60120fd3205","Live",""
"Renew","1","Common","Heal 3","Draw 1","","Heal 3 and draw a card.","Chebyshev","0","4","Renew","Cleric","Heal","","Tile","Single","Tile","Single","","","","FALSE","FALSE","","940d27453c9c1924499110bc2380e444","Live",""
"Smite","1","Common","Damage 4","Heal 3","","Deal 4 damage. Heal 3.","Chebyshev","1","4","Smite","Cleric","Heal","","Tile","Single","Self","Single","","","","FALSE","FALSE","","96e73bab6c061cd49bf0c98a367e781e","Live",""
"Mend and Fortify","2","Uncommon","Heal 5","Strength 3","","Heal 5 and gain 3 Strength.","Chebyshev","0","4","Mend and Fortify","Cleric","Heal","","Tile","Single","Tile","Single","","","","FALSE","FALSE","","31fea6d7f3b17b54fbfee4ce54165c76","Live",""
"Mend and Guard","2","Uncommon","Heal 5","Block 2","","Heal 5 and gain Block 2.","Chebyshev","0","4","Mend and Guard","Cleric","Heal","","Tile","Single","Tile","Single","","","","FALSE","FALSE","","b463c182abe12924b8bd14a649d2c3a4","Live",""
"Renewing Touch","2","Uncommon","Regeneration 4","","","Apply Regeneration 4.","Chebyshev","0","4","Renewing Touch","Cleric","Heal","","Tile","Single","","","","","","FALSE","FALSE","","25e5a08179ad2a848b8539a19c5bbfa7","Live",""
"Beacon Totem","1","Uncommon","SummonBeaconTotem","","","Summon a Beacon Totem.","Chebyshev","1","2","Beacon Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","f6d1fbe1cfdd0314f9969e1457bfebe1","Live",""
"Bastion Totem","2","Uncommon","SummonBastionTotem","","","Summon a Bastion Totem.","Chebyshev","1","3","Bastion Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","b5992955f6f71d249bd207dc483e4566","Live",""
"Bloodpact Totem","2","Uncommon","SummonBloodpactTotem","","","Summon a Bloodpact Totem.","Chebyshev","1","3","Bloodpact Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","b6d8d70794292df43a53dfecffd26dfe","Live",""
"Bloom Totem","2","Uncommon","SummonBloomTotem","","","Summon a Bloom Totem.","Chebyshev","1","3","Bloom Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","fc0f1d24759b3b14abe50392a23bf382","Live",""
"Bulwark Totem","2","Uncommon","SummonBulwarkTotem","","","Summon a Bulwark Totem.","Chebyshev","1","3","Bulwark Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","30dc9807bee5a3a47a453cded652caa6","Live",""
"Echo Totem","2","Uncommon","SummonEchoTotem","","","Summon a Echo Totem.","Chebyshev","1","3","Echo Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","f1df2170a944fd34785c7e3569efd815","Live",""
"Heal Totem","2","Uncommon","SummonHealTotem","","","Summon a Heal Totem.","Chebyshev","1","3","Heal Totem","Cleric","Summon","","Tile","Single","","","","","","FALSE","FALSE","","1b8727d4f538799408c987e9f1732674","Live",""
