"Deck","For","Card","Count","Locked"
"KnightStarter","Knight","Move","4","No"
"KnightStarter","Knight","Slash","5","No"
"KnightStarter","Knight","Shield","4","No"
"KnightStarter","Knight","Block","1","No"
"KnightStarter","Knight","Bastion Totem","1","No"
"KnightTest","Knight","Taunt","1","Yes"
"KnightTest","Knight","SummonTotem","1","Yes"
"KnightTest","Knight","Cleave","1","Yes"
"KnightTest","Knight","Move","1","Yes"
"KnightTest","Knight","Slash","1","Yes"
"KnightTutorial","Any","Shield","1","No"
"KnightTutorial","Any","Slash","1","No"
"KnightTutorial","Any","Move","1","No"
"MageStarter","Mage","Teleport","3","No"
"MageStarter","Mage","Firebolt","3","No"
"MageStarter","Mage","Blade Ward","3","No"
"MageStarter","Mage","Rust Armor","3","No"
"MageStarter","Mage","Hex Totem","1","No"
"MageStarter","Mage","Fracture Totem","1","No"
"MageStarter","Mage","Sap Totem","1","No"
"MageTest","Mage","Blade Ward","1","Yes"
"MageTest","Mage","WallOfForce","1","Yes"
"MageTest","Mage","SummonSkeleton","1","Yes"
"MageTest","Mage","SummonDrawTotem","1","Yes"
"MageTest","Mage","Cure Wounds","1","Yes"
"MageTutorial","Any","Firebolt","1","No"
"MageTutorial","Any","Teleport","1","No"
"RogueStarter","Rogue","Move","4","No"
"RogueStarter","Rogue","Poison Dart","4","No"
"RogueStarter","Rogue","Quick Attack","3","No"
"RogueStarter","Rogue","Dodge","2","No"
"RogueStarter","Rogue","Panache","1","No"
"RogueStarter","Rogue","VenomTotem","1","No"
"RogueTest","Rogue","Evasion","1","Yes"
"RogueTest","Rogue","Poison Blade","1","Yes"
"RogueTest","Rogue","VenomTotem","1","Yes"
"RogueTest","Rogue","Shambles","1","Yes"
"RogueTest","Rogue","Quick Attack","1","Yes"
