"Name","Class","Kind","Amount","Detail","Scoreable","Used By","Path","GUID"
"Dodge","ApplyStatusEffect","Status:Dodge","1","turns=-1","No","1","Assets/Data/EffectData/Status/Dodge.asset","297e32706d67fd44c9bf239d7b885ef8"
"Double Next Attack","ApplyStatusEffect","Status:DoubleNextAttack","1","turns=-1","Yes","1","Assets/Data/EffectData/Status/Double Next Attack.asset","a1c05e11d2f34b0a9e5c17d40b1e5008"
"Double Shield","ApplyStatusEffect","Status:DoubleShield","1","turns=-1","Yes","0","Assets/Data/EffectData/Status/Double Shield.asset","130a684baa1486a4fb3fe349e9470ff5"
"Freeze","ApplyStatusEffect","Status:Frozen","1","turns=-1","No","2","Assets/Data/EffectData/Status/Freeze.asset","3580edba556b41dfacf7b14e5dc9d88d"
"Poison","ApplyStatusEffect","Status:Poison","1","turns=-1","Yes","0","Assets/Data/EffectData/Status/Poison.asset","8559e2772957a134bab0efb4dee349f7"
"Poison 2","ApplyStatusEffect","Status:Poison","2","turns=-1","Yes","1","Assets/Data/EffectData/Status/Poison 2.asset","bcae4299ca2f3dc41acf722b1fdc6b13"
"Poison 3","ApplyStatusEffect","Status:Poison","3","turns=-1","Yes","3","Assets/Data/EffectData/Status/Poison 3.asset","f1f83550d8e0b1349b773e5db3dcacc8"
"Poison 4","ApplyStatusEffect","Status:Poison","4","turns=-1","Yes","1","Assets/Data/EffectData/Status/Poison 4.asset","bb990246a9e74a9da9818c57770f9e51"
"Poison Blade 3","ApplyStatusEffect","Status:PoisonBlade","3","turns=-1","Yes","1","Assets/Data/EffectData/Status/Poison Blade 3.asset","c4ef771153264c74986d3776f325b2b9"
"Root","ApplyStatusEffect","Status:Rooted","1","turns=-1","No","2","Assets/Data/EffectData/Status/Root.asset","a4d4e3e61e8148469881f4b9e148b125"
"Stealth 2","ApplyStatusEffect","Status:Stealth","2","turns=-1","Yes","1","Assets/Data/EffectData/Status/Stealth 2.asset","40ef0a96df6ebad43984a2f59181911f"
"Strength 3","ApplyStatusEffect","Status:Strength","3","turns=-1","Yes","1","Assets/Data/EffectData/Status/Strength 3.asset","a1c05e11d2f34b0a9e5c17d40b1e5007"
"Vulnerable","ApplyStatusEffect","Status:Vulnerable","1","turns=-1","Yes","4","Assets/Data/EffectData/Status/Vulnerable.asset","d96f92b498b41174c8c02c1ba9bf1642"
"Weaken","ApplyStatusEffect","Status:Weaken","1","turns=-1","Yes","2","Assets/Data/EffectData/Status/Weaken.asset","fdf8e59b34a6463478b37ed552bf8e09"
"Weaken 2","ApplyStatusEffect","Status:Weaken","2","turns=-1","Yes","1","Assets/Data/EffectData/Status/Weaken 2.asset","d6e9f9dd9e2d53542b483894b2f681d7"
"Block 1","BlockEffect","Block","1","legacy blockAmount=0","Yes","0","Assets/Data/EffectData/Block/Block 1.asset","6ed490ccaf25d284f841904809cfffd9"
"Block 2","BlockEffect","Block","2","legacy blockAmount=0","Yes","3","Assets/Data/EffectData/Block/Block 2.asset","971d05e67ff19cb49a0c2a6e030045d8"
"Block 3","BlockEffect","Block","3","legacy blockAmount=0","Yes","1","Assets/Data/EffectData/Block/Block 3.asset","0127534bcea64814bb034e9a43239154"
"Block 4","BlockEffect","Block","4","legacy blockAmount=0","Yes","1","Assets/Data/EffectData/Block/Block 4.asset","a836327bb4d2a2e4484474715888ecb1"
"Damage 2","DamageEffect","Damage","2","","Yes","4","Assets/Data/EffectData/Damage/Damage 2.asset","3d27ea264b552f34f8714152e4dc8b05"
