"Kind","Type","Title","Body","Terms","Default Stacks","Default Amount"
"Status","Strength","STRENGTH","Adds 3 damage to the next {stacks} attacks.","","1","1"
"Status","DoubleNextAttack","DOUBLE ATTACK","The next {stacks} attack this character makes deals double damage.","Double Attack, Double Next Attack","1","1"
"Status","Poison","POISON","Deals damage equal to it's stacks ({stacks}) and the end of the turn and then loses a stack.","Poison, Poisoned","1","1"
"Status","Frozen","FROZEN","Cannot act for {stacks} more turns.","Frozen, Freeze","1","1"
"Status","Shield","SHIELD","Absorbs the next {stacks} damage. Only lasts for this turn.","","1","1"
"Status","Block","BLOCK","Reduces the damage this character takes by 3 for the next {stacks} hits.","","1","5"
"Status","Parry","PARRY","Negates the damage for {stacks} hits and reflects the damage back to the attacker.","","1","1"
"Status","Rooted","ROOTED","This character is unable to use move actions for {stacks} turns.","Rooted, Root","1","1"
"Status","DoubleShield","DOUBLE SHIELD","The next {stacks} Shield this character gains is doubled.","","1","1"
"Status","Dodge","DODGE","Negates the damage for {stacks} hits and moves the character away from the source of damage.","","1","1"
"Status","Weaken","WEAKEN","Subtracts {amount} damage from each attack made.","","1","1"
"Status","Taunt","TAUNT","This character must move toward or attack the source of the Taunt for {stacks} turns.","","1","1"
"Status","PoisonBlade","POISON BLADE","For {stacks} more turns, every attack this character lands also applies {amount} Poison.","","1","1"
"Status","Stealth","STEALTH","Enemies cannot target this character for {stacks} more turns.","","1","1"
"Status","Vulnerable","VULNERABLE","Adds {amount} damage to each attack taken.","","1","3"
"Status","GainMultiplier","EMPOWERED","Multiplies {status} granted to all {targets} in range by {amount}.","","1","1"
"Status","Potency","POTENT","Test {amount} to the potency of {status} for all {targets} in range.","","1","1"
"Status","TurnTick","STANDING WARD","Grants {amount} {status} to all {targets} in range {timing}.","","1","1"
"Status","Summoned","SUMMONED","","","1","1"
"Keyword","Innate","INNATE","Always in hand. Never enters the draw or discard pile.","","1","1"
"Keyword","Cooldown","COOLDOWN","Unusable for {magnitude} turns after it is played.","","1","1"
"Keyword","Dormant","DORMANT","Unusable for {magnitude} turns after you gain it.","","1","1"
