"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Animation","GUID","Sync","Notes","Buildable","Engine Work","Source","Priority"
"Shield Bash","1","Common","Damage 5","Block 1","","Deal 5 damage and gain 1 Block charge.","Chebyshev","1","1","ShieldBash","Knight","Melee Attack","Attack, Defence","Tile","Single","Self","Single","","","","FALSE","","","NEW","","Yes","","Slay the Spire","High"
"Cleave","1","Uncommon","Damage 4","","","Deal 4 damage to every enemy around the target.","Chebyshev","1","1","Cleave","Knight","Melee Attack","Attack","Tile","Chebyshev 0-1","","","","","","FALSE","","","NEW","","Yes","","D&D / StS","High"
"Iron Wall","2","Uncommon","Shield 7","Block 2","","Gain 7 Shield and 2 Block charges.","SelfTile","0","0","IronWall","Knight","Buff (Defensive)","Defence","Self","Single","Self","Single","","","","FALSE","","","NEW","","Yes","","StS Barricade","Med"
"Bulwark","1","Common","Block 2","","","Gain 2 Block charges.","SelfTile","0","0","Bulwark","Knight","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","","","NEW","","Yes","","","Med"
"Riposte","2","Rare","Parry 1","Parry 1","","Gain 2 Parry charges.","SelfTile","0","0","Riposte","Knight","Buff (Defensive)","Defence","Self","Single","Self","Single","","","","FALSE","","","NEW","","Yes","","Fencing / FFT","Med"
"Heavy Swing","2","Common","Damage 12","","","Deal 12 damage.","Chebyshev","1","1","HeavySwing","Knight","Melee Attack","Attack","Tile","Single","","","","","","FALSE","","","NEW","","Yes","","","Med"
"Second Wind","1","Uncommon","Heal 5","","","Heal 5. The Knight has no healing at all today.","SelfTile","0","0","SecondWind","Knight","Heal","Healing","Self","Single","","","","","","FALSE","","","NEW","Fills a real gap: Knight currently has zero heal cards.","Yes","","D&D Fighter","High"
"Guard Stance","0","Common","Shield 3","Block 1","","Gain 3 Shield and 1 Block charge.","SelfTile","0","0","GuardStance","Knight","Buff (Defensive)","Defence","Self","Single","Self","Single","","","","FALSE","","","NEW","","Yes","","","Med"
"Shield Slam","2","Uncommon","Damage 5","Shield 5","","Deal 5 damage and gain 5 Shield.","Chebyshev","1","1","ShieldSlam","Knight","Melee Attack","Attack, Defence","Tile","Single","Self","Single","","","","FALSE","","","NEW","","Yes","","WoW","Med"
"Last Stand","3","Rare","Shield 15","Block 3","","Gain 15 Shield and 3 Block charges.","SelfTile","0","0","LastStand","Knight","Buff (Defensive)","Defence","Self","Single","Self","Single","","","","FALSE","","","NEW","","Yes","","","Low"
"Shield Charge","2","Uncommon","Move","Damage 5","","Move to a tile, then deal 5 damage to everything adjacent to where you land.","Chebyshev","1","3","ShieldCharge","Knight","Melee Attack","Attack, Movement","Tile","Single","Source","Chebyshev 0-1","","","","FALSE","","","NEW","","Needs Effect","A DashAttackEffect: Move and Damage resolve as separate actions today, so the damage lands around the OLD tile. Needs one effect that moves then strikes from the destination.","Into the Breach","High"
"Bull Rush","1","Uncommon","Damage 3","","","Deal 3 damage and push the target 1 tile away.","Chebyshev","1","1","BullRush","Knight","Melee Attack","Attack, Movement","Tile","Single","","","","","","FALSE","","","NEW","Push/pull is the single highest-value addition for a grid game. Unlocks a dozen cards across all three classes.","Needs Effect","PushEffect : CardEffect - displace the occupant N tiles along the aim direction, via GridManager.MoveCharacter so move rules and tweens still apply.","Into the Breach","High"
