"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Rotatable","Animation","GUID","Sync","Notes"
"Block","1","Uncommon","Block 3","","","Gain 3 Block.","SelfTile","0","0","Block","Knight+Rogue","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","FALSE","","db83bbf36eb240f79a3c309c29ac4ea2","Live",""
"Parry","1","Uncommon","Parry 1","","","Gain 1 Parry.","SelfTile","0","0","Parry","Knight","Buff (Defensive)","","Self","Single","","","","","","FALSE","FALSE","","e5962a056448478d8cb8225f4e84306d","Live",""
"Shield","1","Common","Shield 7","","","Gain 7 Shield.","SelfTile","0","0","Shield","Knight","Buff (Defensive)","","Self","Single","","","","","","FALSE","FALSE","","7402495d3e66bfc41b47c4d1fc79004e","Live",""
"Steely Resolve","1","Uncommon","Shield 5","Draw 1","","Gain 5 Shield. Draw 1 card.","SelfTile","0","0","Steely Resolve","Knight","Buff (Defensive)","","Self","Single","Self","Single","","","","FALSE","FALSE","","b2d16f22e3045c1baf6d28e51c2f6003","Live",""
"Taunt","1","Uncommon","Taunt","","","Taunts enemy.","Chebyshev","1","3","Taunt","Knight","Buff (Defensive)","","Tile","Single","","","","","","FALSE","FALSE","","af8bc827dc0c0c043aadfbceb9c91246","Live",""
"Guardian's Aegis","2","Uncommon","Shield 5","","","Give 5 Shield.","SelfTile","0","0","Guardian's Aegis","Knight","Buff (Defensive)","","Self","Manhattan 0-2","","","","","","FALSE","FALSE","","52e101b3e4c5baa4cb2771825ac229a6","Live",""
"Strengthen","1","Uncommon","Strength 3","","","Gain 3 Strength.","SelfTile","0","0","Strengthen","Knight","Buff (Offensive)","","Tile","Single","","","","","","FALSE","FALSE","","b2d16f22e3045c1baf6d28e51c2f6005","Live",""
"Buff","2","Uncommon","Double Next Attack","","","Double next attack.","SelfTile","0","0","Buff","Knight","Buff (Offensive)","","Tile","Single","","","","","","FALSE","FALSE","","b2d16f22e3045c1baf6d28e51c2f6006","Live",""
"Second Wind","1","Uncommon","Heal 5","","","Heal 5 health.","SelfTile","0","0","Second Wind","Knight","Heal","","Self","Single","","","","","","FALSE","FALSE","","0a8d0a05e27667d45bd045dcca66021a","Live",""
"Attack and Block","1","Uncommon","Damage 5","Shield 5","","Deal 5 Damage. Gain 5 Shield.","Chebyshev","1","1","Attack and Block","Knight","Melee Attack","","Tile","Single","Self","Single","","","","FALSE","FALSE","","b2d16f22e3045c1baf6d28e51c2f6001","Live",""
"Cleave","1","Uncommon","Damage 5","","","Deal 5 Damage.","Manhattan","1","1","Cleave","Knight","Melee Attack","","Tile","Pattern:Wall3","","","","","","FALSE","FALSE","","d7c02ed0dade07a49bec6cc971ee05ab","Live",""
"Slash","1","Common","Damage 9","","","Deals 9 Damage.","Chebyshev","1","1","Slash","Knight","Melee Attack","","Tile","Single","","","","","","FALSE","FALSE","","d33a9e1db0e9c6e42a163a3bb49dbf0f","Live",""
"Slash+","1","NotOffered","Damage 9","","","Deals 3 more damage than Slash.","Chebyshev","1","1","Slash+","Knight","Melee Attack","","Tile","Single","","","","","","FALSE","FALSE","","35c23446db2a2fb42ab67f89753afdbd","Live",""
"Sunder","1","Uncommon","Damage 5","Vulnerable","","Deal 5 damage and apply 2 Vulnerable.","Chebyshev","1","1","Sunder","Knight","Melee Attack","","Tile","Single","Tile","Single","","","","FALSE","FALSE","","473565cf7c9a7a54aa013e0ffab0df43","Live",""
"Whirlwind","1","Rare","Damage 4","","","Deal 4 damage.","SelfTile","0","0","Whirlwind","Knight","Melee Attack","","Self","Chebyshev 0-1","","","","","","FALSE","FALSE","","912403e15b047df44945f4d6e0a794b2","Live",""
"Bloodmoon Totem","1","Rare","SummonBloodmoonTotem","","","Summon a Bloodmoon Totem.","Chebyshev","1","3","Bloodmoon Totem","Knight","Summon","","Tile","Single","","","","","","FALSE","FALSE","","54a4b791120a2294695e570203d59aba","Live",""
"Anvil Totem","2","Uncommon","SummonAnvilTotem","","","Summon a Anvil Totem.","Chebyshev","1","3","Anvil Totem","Knight","Summon","","Tile","Single","","","","","","FALSE","FALSE","","7a653fc08710faf448f81b2f5e947e9a","Live",""
"Fury Totem","2","Uncommon","SummonFuryTotem","","","Summon a Fury Totem.","Chebyshev","1","3","Fury Totem","Knight","Summon","","Tile","Single","","","","","","FALSE","FALSE","","9375eb26d7c7bda48a55a8b265cfe56d","Live",""
"Momentum Totem","2","Uncommon","SummonMomentumTotem","","","Summon a Momentum Totem.","Chebyshev","1","3","Momentum Totem","Knight","Summon","","Tile","Single","","","","","","FALSE","FALSE","","9dedc466c38c81542bf99a3695ddace4","Live",""
"Rally Totem","2","Uncommon","SummonRallyTotem","","","Summon a Rally Totem.","Chebyshev","1","3","Rally Totem","Knight","Summon","","Tile","Single","","","","","","FALSE","FALSE","","0b63e560c22843d4ba7f2d333793b3dd","Live",""
"Thornwood Totem","2","Uncommon","SummonThornwoodTotem","","","Summon a Thornwood Totem.","Chebyshev","1","3","Thornwood Totem","Knight","Summon","","Tile","Single","","","","","","FALSE","FALSE","","2c52f35d6eee792448391963fba6d347","Live",""
"Whetstone Totem","2","Uncommon","SummonWhetstoneTotem","","","Summon a Whetstone Totem.","Chebyshev","1","3","Whetstone Totem","Knight","Summon","","Tile","Single","","","","","","FALSE","FALSE","","9214dd863c19d7245b675c8862560f40","Live",""
