"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Animation","GUID","Sync","Notes","Buildable","Engine Work","Source","Priority"
"Frostbolt","1","Common","Damage 6","","","Deal 6 damage at range.","Chebyshev","1","4","Frostbolt","Mage","RangedAttack","Attack","Tile","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Arcane Missile","0","Common","Damage 3","","","Deal 3 damage at range.","Chebyshev","1","4","ArcaneMissile","Mage","RangedAttack","Attack","Tile","Single","","","","","","FALSE","","",,"The game has almost no 0-cost cards; the curve needs a floor.","Yes","","D&D","High"
"Scorch","1","Common","Damage 5","","","Deal 5 damage.","Chebyshev","1","3","Scorch","Mage","RangedAttack","Attack, Fire","Tile","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Chain Lightning","2","Rare","Damage 4","","","Deal 4 damage to everything within 2 tiles of the target.","Chebyshev","1","3","ChainLightning","Mage","RangedAttack","Attack","Tile","Manhattan 0-2","","","","","","FALSE","","",,"","Yes","","D&D","Med"
"Meteor","3","Rare","Damage 12","","","Deal 12 damage in a 3x3 area.","Chebyshev","1","4","Meteor","Mage","RangedAttack","Attack, Fire","Tile","Chebyshev 0-1","","","","","","FALSE","","",,"","Yes","","D&D Meteor Swarm","Med"
"Mana Shield","1","Uncommon","Shield 7","","","Gain 7 Shield.","SelfTile","0","0","ManaShield","Mage","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Greater Heal","2","Uncommon","Heal 15","","","Heal an ally for 15.","Manhattan","1","2","GreaterHeal","Mage","Heal","Healing","Tile","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Blizzard","3","Rare","Damage 6","","","Deal 6 damage to everything within 3 tiles of the target.","Chebyshev","1","4","Blizzard","Mage","RangedAttack","Attack","Tile","Manhattan 0-3","","","","","","FALSE","","",,"","Yes","","D&D / WoW","Med"
"Magic Missile","1","Common","","","","Deal 3 damage to each of three different enemies.","Chebyshev","1","4","MagicMissile","Mage","RangedAttack","Attack","","","","","","","","FALSE","","",,"","Needs Effect","Multi-target selection. Every effect today lands on one aim tile plus an area; picking N separate tiles is a different targeting model.","D&D","Low"
"Prismatic Ward","2","Rare","Shield 5","Block 2","Parry 1","Gain 5 Shield, 2 Block charges and 1 Parry charge.","SelfTile","0","0","PrismaticWard","Mage","Buff (Defensive)","Defence","Self","Single","Self","Single","Self","Single","","FALSE","","",,"","Yes","","D&D","Med"
"Blink","0","Uncommon","Move","","","Teleport up to 3 tiles.","Chebyshev","1","3","Blink","Mage","Movement","Movement","Tile","Single","","","","","","FALSE","","",,"","Yes","","D&D Misty Step","High"
"Force Push","1","Uncommon","","","","Push the target 2 tiles away.","Chebyshev","1","3","ForcePush","Mage","Debuff","Movement","","","","","","","","FALSE","","",,"","Needs Effect","PushEffect - shared with the Knight cards above.","Into the Breach","High"
"Wall of Fire","2","Rare","","","","Set three tiles alight. Anything standing there at end of turn takes 4 damage.","Chebyshev","1","3","WallOfFire","Mage","Summon","Fire, Summon","","","","","","","","FALSE","","",,"The pitch is ""tiles mutate the characters standing on them"" - hazards are the most on-theme thing missing.","Needs System","Persistent tile hazards - a tile that carries an effect with no character on it. GridTile has no such concept yet.","D&D","High"
"Repulsion Ward","2","Rare","","","","Push every adjacent enemy 2 tiles away.","SelfTile","0","0","RepulsionWard","Mage","Debuff","Defence, Movement","","","","","","","","FALSE","","",,"","Needs Effect","PushEffect with an area, pushing outward from the caster rather than along one aim direction.","Into the Breach","Med"
"Grease","1","Common","Root","","","Root everything in a 3x3 area.","Chebyshev","1","3","Grease","Mage","Debuff","Movement","Tile","Manhattan 0-1","","","","","","FALSE","","",,"","Yes","","D&D","High"
"Dimension Door","1","Rare","","","","Swap places with any character on the board.","Chebyshev","1","4","DimensionDoor","Mage","Movement","Movement","","","","","","","","FALSE","","",,"","Needs Effect","SwapEffect - shared with Interpose.","D&D","Med"
"Web","1","Uncommon","Root","Weaken 2","","Root and apply 2 Weaken in a 3x3 area.","Chebyshev","1","3","Web","Mage","Debuff","Movement","Tile","Manhattan 0-1","Tile","Manhattan 0-1","","","","FALSE","","",,"","Yes","","D&D","Med"
"Levitate","1","Uncommon","","","","An ally may move again this turn.","Manhattan","1","2","Levitate","Mage","Movement","Movement","","","","","","","","FALSE","","",,"","Needs Effect","GrantMoveEffect - hand a free move to another character. MoveEffect always moves the source.","D&D","Low"
"Thunderwave","2","Uncommon","Damage 5","","","Deal 5 damage in a cone and push everything it hits.","Chebyshev","1","1","Thunderwave","Mage","RangedAttack","Attack","Tile","Pattern:Cone3","","","","","","FALSE","","",,"Half of this is buildable today - drop the push and it ships.","Needs Effect","The damage half already works via the Cone3 pattern; only the push is missing.","D&D","High"
"Misty Step","1","Common","Move","Dodge","","Teleport 2 tiles and gain Dodge.","Chebyshev","1","2","MistyStep","Mage","Movement","Movement, Defence","Tile","Single","Self","Single","","","","FALSE","","",,"","Yes","","D&D","Med"
"Curse","1","Common","Weaken 3","","","Apply 3 Weaken.","Chebyshev","1","3","Curse","Mage","Debuff","Attack","Tile","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Hex","2","Uncommon","Weaken 3","Poison 3","","Apply 3 Weaken and 3 Poison.","Chebyshev","1","3","Hex","Mage","Debuff","Poison","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","D&D","Med"
"Slow","1","Uncommon","Root","Weaken 2","","Root the target and apply 2 Weaken.","Chebyshev","1","3","Slow","Mage","Debuff","Movement","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","D&D","Med"
"Deep Freeze","2","Rare","Damage 5","Freeze","","Deal 5 damage and Freeze the target.","Chebyshev","1","3","DeepFreeze","Mage","Debuff","Attack","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","Med"
"Haste","2","Rare","Double Next Attack","Draw 1","","Your next attack is doubled. Draw a card.","SelfTile","0","0","Haste","Mage","Buff (Offensive)","Attack","Self","Single","Self","Single","","","","FALSE","","",,"","Yes","","D&D","Med"
"Bless","1","Uncommon","Strength 2","","","Give an ally 2 Strength.","Manhattan","1","2","Bless","Mage","Buff (Offensive)","Attack","Tile","Single","","","","","","FALSE","","",,"","Yes","","D&D","Med"
"Mass Curse","3","Rare","Weaken 3","","","Apply 3 Weaken to everything within 2 tiles of the target.","Chebyshev","1","4","MassCurse","Mage","Debuff","Attack","Tile","Manhattan 0-2","","","","","","FALSE","","",,"","Yes","","","Med"
"Mirror Image","2","Rare","Dodge 2","","","Gain 2 Dodge charges.","SelfTile","0","0","MirrorImage","Mage","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","","",,"","Yes","","D&D","Med"
"Stoneskin","2","Uncommon","Block 3","","","Give an ally 3 Block charges.","Manhattan","1","2","Stoneskin","Mage","Buff (Defensive)","Defence","Tile","Single","","","","","","FALSE","","",,"","Yes","","D&D","Med"
"Contagion","3","Rare","Poison 4","","","Apply 4 Poison to everything within 2 tiles of the target.","Chebyshev","1","4","Contagion","Mage","Debuff","Poison","Tile","Manhattan 0-2","","","","","","FALSE","","",,"","Yes","","","Med"
"Immolate","2","Rare","","","","Deal 4 damage and set the target Burning for 3.","Chebyshev","1","3","Immolate","Mage","RangedAttack","Fire","","","","","","","","FALSE","","",,"The Fire tag exists on CardTag with nothing behind it.","Needs Status","BurnStatus plus StatusType.Burn appended. Nearly a copy of PoisonStatus but unblockable-on-hit rather than at turn end - which is exactly why it should reuse the same shape.","WoW / MtG","High"
"Counterspell","1","Rare","","","","Negate the next card that enemy plays.","Chebyshev","1","4","Counterspell","Mage","Debuff","Defence","","","","","","","","FALSE","","",,"","Needs Hook","An OnCardPlayed gate. ActRefusal already denies actions - this is the same idea aimed at one card rather than the turn.","MtG / D&D","Med"
"Time Stop","3","Legendary","","","","Take another turn.","SelfTile","0","0","TimeStop","Mage","Buff (Offensive)","Attack","","","","","","","","FALSE","","",,"Cheap to describe, expensive to define. Park it.","Needs System","Turn economy. There is deliberately no turn order today - clicking a character makes it active - so ""another turn"" needs defining first.","D&D","Low"
"Arcane Recovery","1","Rare","","","","Gain 2 energy.","SelfTile","0","0","ArcaneRecovery","Mage","Buff (Offensive)","Attack","","","","","","","","FALSE","","",,"","Needs Effect","EnergyEffect. Energy lives on Character, so the effect is small - the balance risk is not.","StS","Med"
"Spell Echo","2","Rare","","","","The next card you play resolves twice.","SelfTile","0","0","SpellEcho","Mage","Buff (Offensive)","Attack","","","","","","","","FALSE","","",,"","Needs System","Re-running a card's actions needs CardPlayManager to keep the last play around. DoubleNextAttack is the narrow version that already works.","StS Amplify","Med"
"Polymorph","2","Legendary","","","","The target cannot act or be acted upon for 2 turns.","Chebyshev","1","3","Polymorph","Mage","Debuff","Attack","","","","","","","","FALSE","","",,"","Needs Status","A stronger Frozen - ActRefusal plus a targeting refusal. TargetSelector has no concept of an untargetable character.","D&D / Hearthstone","Low"
"Wall of Force","2","Rare","","","","Three tiles become impassable for 2 turns.","Chebyshev","1","3","WallOfForce","Mage","Summon","Defence","","","","","","","","FALSE","","",,"Build alongside Wall of Fire; one system covers both.","Needs System","Tile blocking - same tile-state system as Wall of Fire, minus the damage.","D&D / Into the Breach","High"
"Scorching Ray","1","Uncommon","","","","Deal 3 damage three times.","Chebyshev","1","3","ScorchingRay","Mage","RangedAttack","Fire","","","","","","","","FALSE","","",,"Interacts with Block in a way the game has no card for yet.","Needs Effect","A repeat count on an effect entry. Matters because Block reduces each hit separately - three small hits beat one big one into Block.","D&D","High"
"Arcane Intellect","1","Uncommon","Draw 2","","","Draw 2 cards.","SelfTile","0","0","ArcaneIntellect","Mage","Buff (Offensive)","Attack","Self","Single","","","","","","FALSE","","",,"DrawEffect is used by exactly one totem right now.","Yes","","WoW","High"
"Sacrifice","0","Rare","","","","Lose 5 health. Draw 2 cards.","SelfTile","0","0","Sacrifice","Mage","Buff (Offensive)","Attack","","","","","","","","FALSE","","",,"","Needs Effect","SelfDamageEffect - HealEffect with a negative amount would work but reads badly and skips the damage hooks.","StS Bloodletting","Med"
"Sunburst","3","Legendary","Damage 10","","","Deal 10 damage to everything within 3 tiles of the target.","Chebyshev","1","4","Sunburst","Mage","RangedAttack","Attack, Fire","Tile","Manhattan 0-3","","","","","","FALSE","","",,"","Yes","","D&D","Med"
"Cataclysm","3","Legendary","Damage 20","","","Deal 20 damage to one target.","Chebyshev","1","4","Cataclysm","Mage","RangedAttack","Attack, Fire","Tile","Single","","","","","","FALSE","","",,"","Yes","","","Low"
"Mass Healing Word","3","Rare","Heal 10","","","Every ally within 2 tiles heals 10.","SelfTile","0","0","MassHealingWord","Mage","Heal","Healing","Self","Manhattan 0-2","","","","","","FALSE","","",,"","Yes","","D&D","Med"
