"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Rotatable","Animation","GUID","Sync","Notes"
"Dull Blade","1","Common","Weaken","","","Apply Weaken.","Chebyshev","1","4","Dull Blade","Mage","Debuff","Defence","Tile","Single","","","","","","FALSE","FALSE","Status","5838b385efe02534993ebe2518d61ef3","Live",""
"Entangle","1","Uncommon","Root","","","Root an Enemy.","Chebyshev","1","4","Entangle","Mage","Debuff","","Tile","Single","","","","","","FALSE","FALSE","Status","d628843c186f4896abd388b0e0fb081d","Live",""
"Freeze","1","Rare","Freeze","","","Freeze an Enemy.","Chebyshev","1","4","Freeze","Mage","Debuff","","Tile","Single","","","","","","FALSE","FALSE","Freeze","b660e3293e8b4225afcfe9a9a4be0f05","Live",""
"Rust Armor","1","Common","Vulnerable","","","Apply Vulnerable.","Chebyshev","1","4","Rust Armor","Mage","Debuff","","Tile","Single","","","","","","FALSE","FALSE","","d87d584eefa48da429cd46687b4066b4","Live",""
"Teleport","1","Common","Move","","","Move to any tile on the board.","Anywhere","0","0","Teleport","Mage","Movement","","Tile","Single","","","","","","FALSE","FALSE","","aaf80d8da0ea4c228b87cbad0b9af242","Live",""
"Fireball","1","Rare","Damage 5","","","Deal 5 damage.","Chebyshev","1","4","Fireball","Mage","RangedAttack","","Tile","Chebyshev 0-1","","","","","","FALSE","FALSE","","576ab6616f9067d458e6811318815c6c","Live",""
"Firebolt","1","Common","Damage 5","","","Deal 5 damage.","Chebyshev","1","5","Firebolt","Mage","RangedAttack","","Tile","Single","","","","","","FALSE","FALSE","Fireball","000c1f73e085eb64b8d858c64dfdfcda","Live",""
"Flame Cone","1","Rare","Damage 4","","","Deal 4 damage.","Chebyshev","1","1","Flame Cone","Mage","RangedAttack","","Tile","Pattern:Cone3","","","","","","FALSE","FALSE","","93cab38da2c31ed409077c18f3807992","Live",""
"Ice Shard","1","Rare","Damage 5","Freeze","","Deals 3 damage and Freezes.","Chebyshev","1","4","Ice Shard","Mage","RangedAttack","","Tile","Single","Tile","Single","","","","FALSE","FALSE","","36d01c973ac698e428120b185d709229","Live",""
"X-Burner","1","Rare","Damage 5","","","Deal 5 damage.","Chebyshev","1","4","X-Burner","Mage","RangedAttack","","Tile","Pattern:X-Pattern","","","","","","FALSE","FALSE","","c8319799a424c03478428ce8d28e8e92","Live",""
"Chaos Totem","1","Rare","SummonChaosTotem","","","Summon a Chaos Totem.","Chebyshev","1","3","Chaos Totem","Mage","Summon","","Tile","Single","","","","","","FALSE","FALSE","","be9e8db880616e449b7b9cb36178fba1","Live",""
"Binding Totem","2","Uncommon","SummonBindingTotem","","","Summon a Binding Totem.","Chebyshev","1","3","Binding Totem","Mage","Summon","","Tile","Single","","","","","","FALSE","FALSE","","deb322298a9674d469f81de9d4774b0e","Live",""
"Conduit Totem","2","Uncommon","SummonConduitTotem","","","Summon a Conduit Totem.","Chebyshev","1","3","Conduit Totem","Mage","Summon","","Tile","Single","","","","","","FALSE","FALSE","","7a62a8d9fb25c9a4f8e9fb484cdfa9ff","Live",""
"Enfeeble Totem","2","Uncommon","SummonEnfeebleTotem","","","Summon a Enfeeble Totem.","Chebyshev","1","3","Enfeeble Totem","Mage","Summon","","Tile","Single","","","","","","FALSE","FALSE","","a34ba9577dc8af24bb92fb81ee235a5d","Live",""
"Fracture Totem","2","Uncommon","SummonFractureTotem","","","Summon a Fracture Totem.","Chebyshev","1","3","Fracture Totem","Mage","Summon","","Tile","Single","","","","","","FALSE","FALSE","","234fcf8ff9522344d9d5ee1022be130f","Live",""
"Ruin Totem","2","Uncommon","SummonRuinTotem","","","Summon a Ruin Totem.","Chebyshev","1","3","Ruin Totem","Mage","Summon","","Tile","Single","","","","","","FALSE","FALSE","","e76eca70192ea0342abb35761afe55cf","Live",""
