"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Rotatable","Animation","GUID","Sync","Notes"
"Call Reinforcements","0","NotOffered","SummonTutorialSkeleton","","","Summon a Skeleton Warrior four tiles away.","Chebyshev","3","3","CallReinforcements","Any","","","Tile","Single","","","","","Cooldown 4","FALSE","FALSE","","0614839401c15d54aba05fe204ab3ebe","Live",""
"Summon Skeleton Warrior","0","NotOffered","SummonSkeletonWarrior","","","Summon a Skeleton Warrior.","Chebyshev","1","5","SummonSkeletonWarrior","Any","","","Tile","Single","","","","","Dormant 3, Cooldown 4","FALSE","FALSE","","e0f2734ed1017c7419f5d21d3fb737f4","Live",""
"EnemyArrow","1","NotOffered","Damage 3","","","Deal 3 damage to an enemy within 6 tiles.","Chebyshev","1","6","EnemyArrow","Any","","","Tile","Single","","","","","","FALSE","FALSE","EnemyArrow","bbde0f0e0cc14d529a5088cf2502a322","Live",""
"","1","NotOffered","Damage 5","","","Deal 5 damage.","Chebyshev","1","1","EnemySlash","Any","","","Tile","Single","","","","","","FALSE","FALSE","","4e6ad46400a24ad49889dba4ec94d0b6","Live",""
"Move 1","1","Common","Move","","","Move one tile in any direction.","Chebyshev","1","1","Move","Any","","","Tile","Single","","","","","","TRUE","FALSE","","be5db39fd599473588c5ca05a015d151","Live",""
"Move 1","1","NotOffered","Move","","","Move one tile in any direction.","Chebyshev","1","1","MoveInnate","Any","","","Tile","Single","","","","","Innate","FALSE","FALSE","","0c8f3a6d2b4e4f9a8c1d7e5b3a2f6c9d","Live",""
"Drain Bite","1","NotOffered","Damage 2","Heal 3","","Deal 2 damage. Heal 3.","Chebyshev","1","1","DrainBite","Any","Bat","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","ee373f925ba104f43bcc820881e5a445","Live",""
"Call the Damned","0","NotOffered","SummonSkeletonMinion","","","Summon a Skeleton.","Chebyshev","1","3","CallTheDamned","Any","BlackKnight","Summon","Tile","Single","","","","","Cooldown 3","FALSE","FALSE","","da46264a9760d4b499106e4057fe349a","Live",""
"Black Guard","1","NotOffered","Damage 5","Shield 10","","Deal 5 damage. Gain 10 Shield.","Chebyshev","1","1","BlackGuard","Any","BlackKnight","Attack","Tile","Single","Self","Single","","","","FALSE","FALSE","","9b2ff5c09da592b4aac092835fb9d5f8","Live",""
"Dread Cleave","1","NotOffered","Damage 8","","","Deal 8 damage to everything within 1 tile.","Chebyshev","1","1","DreadCleave","Any","BlackKnight","Attack","Tile","Chebyshev 0-1","","","","","","FALSE","FALSE","","911c7b3450e79a1448f794b46caf54e3","Live",""
