"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Animation","GUID","Sync","Notes","Buildable","Engine Work","Source","Priority"
"Backstab","1","Common","Damage 7","","","Deal 7 damage.","Chebyshev","1","1","Backstab","Rogue","Melee Attack","Attack","Tile","Single","","","","","","FALSE","","",,"","Yes","","StS","High"
"Twin Fangs","1","Uncommon","Damage 3","Poison 2","","Deal 3 damage and apply 2 Poison.","Chebyshev","1","1","TwinFangs","Rogue","Melee Attack","Attack, Poison","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","High"
"Eviscerate","2","Uncommon","Damage 10","","","Deal 10 damage.","Chebyshev","1","1","Eviscerate","Rogue","Melee Attack","Attack","Tile","Single","","","","","","FALSE","","",,"","Yes","","StS","Med"
"Feint","0","Common","Dodge","","","Gain Dodge.","SelfTile","0","0","Feint","Rogue","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","","",,"","Yes","","","High"
"Envenom","1","Common","Poison 4","","","Apply 4 Poison.","Chebyshev","1","1","Envenom","Rogue","Debuff","Poison","Tile","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Shadow Strike","2","Rare","Damage 8","Weaken 2","","Deal 8 damage and apply 2 Weaken.","Chebyshev","1","1","ShadowStrike","Rogue","Melee Attack","Attack","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","Med"
"Bandage","1","Uncommon","Heal 5","","","Heal 5.","SelfTile","0","0","Bandage","Rogue","Heal","Healing","Self","Single","","","","","","FALSE","","",,"Rogue has an empty Heal folder and no healing at all.","Yes","","","High"
"Deflect","1","Common","Block 2","","","Gain 2 Block charges.","SelfTile","0","0","Deflect","Rogue","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","","",,"","Yes","","StS","Med"
"Throwing Knife","0","Common","Damage 3","","","Deal 3 damage at range.","Chebyshev","1","3","ThrowingKnife","Rogue","RangedAttack","Attack","Tile","Single","","","","","","FALSE","","",,"","Yes","","","High"
"Fan of Knives","2","Uncommon","Damage 4","","","Deal 4 damage to everything around you.","SelfTile","0","0","FanOfKnives","Rogue","Melee Attack","Attack","Self","Chebyshev 0-1","","","","","","FALSE","","",,"","Yes","","WoW","Med"
"Shadowstep","0","Uncommon","Move","","","Move up to 3 tiles.","Chebyshev","1","3","Shadowstep","Rogue","Movement","Movement","Tile","Single","","","","","","FALSE","","",,"","Yes","","","High"
"Vanish","1","Rare","Move","Dodge","","Move and gain Dodge.","Chebyshev","1","3","Vanish","Rogue","Movement","Movement, Defence","Tile","Single","Self","Single","","","","FALSE","","",,"","Yes","","WoW","High"
"Acrobatics","1","Common","Move","Draw 1","","Move 2 tiles and draw a card.","Chebyshev","1","2","Acrobatics","Rogue","Movement","Movement","Tile","Single","Self","Single","","","","FALSE","","",,"","Yes","","StS","Med"
"Hamstring","1","Uncommon","Damage 3","Root","","Deal 3 damage and Root the target.","Chebyshev","1","1","Hamstring","Rogue","Melee Attack","Attack, Movement","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","High"
"Smoke Bomb","2","Rare","Dodge","Weaken 2","","Gain Dodge. Apply 2 Weaken to every adjacent enemy.","SelfTile","0","0","SmokeBomb","Rogue","Buff (Defensive)","Defence","Self","Single","Self","Manhattan 0-1","","","","FALSE","","",,"","Yes","","WoW","Med"
"Grappling Hook","1","Uncommon","","","","Pull yourself to a distant tile.","Chebyshev","1","4","GrapplingHook","Rogue","Movement","Movement","","","","","","","","FALSE","","",,"May already be expressible as Move with a bigger TargetRange.","Needs Effect","A self-pull: MoveEffect with a longer reach would nearly cover it, so check whether range alone is enough before writing anything.","Into the Breach","Low"
"Ambush","2","Rare","","","","Move to a tile, then deal 8 damage to an adjacent enemy.","Chebyshev","1","3","Ambush","Rogue","Melee Attack","Attack, Movement","","","","","","","","FALSE","","",,"","Needs Effect","DashAttackEffect - shared with the Knight's Shield Charge.","FFT","High"
"Caltrops","2","Rare","","","","Three tiles damage any enemy that enters them.","Chebyshev","1","3","Caltrops","Rogue","Debuff","Movement","","","","","","","","FALSE","","",,"","Needs System","Tile hazards - shared with Wall of Fire, but triggered on entry rather than at turn end.","StS / D&D","Med"
"Slip Away","1","Common","","","","Move even if Rooted, and gain Dodge.","Chebyshev","1","2","SlipAway","Rogue","Movement","Movement","","","","","","","","FALSE","","",,"","Needs Status","A status that suppresses MoveRefusal. Rooted returns a reason today and nothing overrides it.","Darkest Dungeon","Low"
"Flanking Strike","2","Uncommon","","","","Deal 5 damage, or 10 if an ally is adjacent to the target.","Chebyshev","1","1","FlankingStrike","Rogue","Melee Attack","Attack","","","","","","","","FALSE","","",,"The most grid-native idea here: it makes positioning pay off directly.","Needs Effect","A conditional damage effect reading board state at resolve time - the first card whose value depends on where everyone is standing.","D&D flanking / FFT","High"
"Deadly Poison","2","Uncommon","Poison 6","","","Apply 6 Poison.","Chebyshev","1","1","DeadlyPoison","Rogue","Debuff","Poison","Tile","Single","","","","","","FALSE","","",,"","Yes","","","Med"
"Crippling Toxin","2","Rare","Poison 3","Weaken 3","","Apply 3 Poison and 3 Weaken.","Chebyshev","1","1","CripplingToxin","Rogue","Debuff","Poison","Tile","Single","Tile","Single","","","","FALSE","","",,"","Yes","","","Med"
