"Card Name","Cost","Rarity","Effect 1","Effect 2","Effect 3","Description","Range Shape","Range Min","Range Max","Key","Class","Folder","Tags","Aim 1","Area 1","Aim 2","Area 2","Aim 3","Area 3","Keywords","No Reward","Rotatable","Animation","GUID","Sync","Notes"
"Dodge","1","Uncommon","Dodge","","","Gain 1 stack of Dodge.","SelfTile","0","0","Dodge","Rogue","Buff (Defensive)","Defence, Movement","Tile","Single","","","","","","FALSE","FALSE","","1eea8f6c4d1062d4f9a550078d14e259","Live",""
"Evasion","1","Uncommon","Block 2","","","Gain 2 stacks of Block.","SelfTile","0","0","Evasion","Rogue","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","FALSE","","ea4ea121456773f47b2377471122e93e","Live",""
"Stealth","1","Rare","Stealth 2","","","For 2 turns, enemies cannot target you.","SelfTile","0","0","Stealth","Rogue","Buff (Defensive)","Defence","Self","Single","","","","","","FALSE","FALSE","","3fb463a3a81ff074ab5a518311ca75e2","Live",""
"Poison Blade","1","Uncommon","Poison Blade 3","","","For 3 turns, your attacks apply 1 Poison.","SelfTile","0","0","Poison Blade","Rogue","Buff (Offensive)","Attack, Poison","Self","Single","","","","","","FALSE","FALSE","","8a487f54103a58548956028d93692641","Live",""
"Panache","1","Uncommon","Weaken 2","","","Apply 3 stacks of Weaken.","Chebyshev","1","4","Panache","Rogue","Debuff","","Tile","Single","","","","","","FALSE","FALSE","","4ead4a101ac64ee4a8dbc0d5917ad849","Live",""
"Quick Attack","0","Uncommon","Damage 3","","","Deal 3 damage.","Chebyshev","1","1","Quick Attack","Rogue","Melee Attack","","Tile","Single","","","","","","FALSE","FALSE","","b2d16f22e3045c1baf6d28e51c2f6002","Live",""
"Poison Dagger","1","Uncommon","Damage 4","Poison 3","","Deal 4 damage and apply 3 Poison.","Chebyshev","1","1","Poison Dagger","Any","Melee Attack","","Tile","Single","Tile","Single","","","","FALSE","FALSE","","4b1d872acef079b4b9803f32615146d9","Live",""
"Shambles","1","Rare","Swap","","","Swap places with any character within 3 tiles.","Chebyshev","1","3","Shambles","Rogue","Movement","Movement","Tile","Single","","","","","","FALSE","FALSE","","ab457316daf03a740aac2696a6bb616b","Live",""
"Poison Dart","1","Common","Poison 4","","","Apply 4 stacks of Poison.","Chebyshev","1","4","Poison Dart","Rogue","RangedAttack","","Tile","Single","","","","","","FALSE","FALSE","","0e3798dd733944d180801d6f2263b739","Live",""
"Decoy Totem","1","Uncommon","SummonDecoyTotem","","","Summon a Decoy Totem.","Chebyshev","1","3","Decoy Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","c08631cd0fb101e42a5d73dbd887945a","Live",""
"Contagion Totem","2","Uncommon","SummonContagionTotem","","","Summon a Contagion Totem.","Chebyshev","1","3","Contagion Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","302ebe6cf5deadf468117453ebf7f0d5","Live",""
"Fortune Totem","2","Uncommon","SummonFortuneTotem","","","Summon a Fortune Totem.","Chebyshev","1","3","Fortune Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","79fb1797bac377241be137dd9d4684cb","Live",""
"Ghoststep Totem","2","Uncommon","SummonGhoststepTotem","","","Summon a Ghoststep Totem.","Chebyshev","1","3","Ghoststep Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","887c9ea2036e9fa4caafd48965354572","Live",""
"Leech Totem","2","Uncommon","SummonLeechTotem","","","Summon a Leech Totem.","Chebyshev","1","3","Leech Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","2d814aeedc0b89f4eb207904f83abdf3","Live",""
"Spike Totem","2","Uncommon","SummonSpikeTotem","","","Summon a Spike Totem.","Chebyshev","1","3","Spike Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","81681948dc874bd4c9ea08e8e8adafb1","Live",""
"Venom Totem","2","Rare","SummonVenomTotem","","","Summon a Venom Totem.","Chebyshev","1","3","Venom Totem","Rogue","Summon","Summon, Poison","Tile","Single","","","","","","FALSE","FALSE","","139ccd0500259c4429836b43f9a7145a","Live",""
"Venomblade Totem","2","Uncommon","SummonVenombladeTotem","","","Summon a Venomblade Totem.","Chebyshev","1","3","Venomblade Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","cc7ab5e114f35204796b0438e7e5625f","Live",""
"Rot Totem","3","Rare","SummonRotTotem","","","Summon a Rot Totem.","Chebyshev","1","3","Rot Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","41c8eeed77695c5478e63466cb1992a3","Live",""
"Veil Totem","3","Uncommon","SummonVeilTotem","","","Summon a Veil Totem.","Chebyshev","1","3","Veil Totem","Rogue","Summon","","Tile","Single","","","","","","FALSE","FALSE","","c0769be3baf84ac4196889f3113de54a","Live",""
