"Prefab","Slot","Card"
"SkeletonAlly","1","EnemySlash"
"SkeletonAlly","2","EnemySlash"
"SkeletonAlly","3","MoveInnate"
"SkeletonAlly","4","MoveInnate"
"Bat","1","Bite"
"Bat","2","Bite"
"Bat","3","Bite"
"Bat","4","Bite"
"Bat","5","MoveInnate2"
"Crab","1","ClawAttack"
"Crab","2","ClawAttack"
"Crab","3","ClawAttack"
"Crab","4","ClawAttack"
"Crab","5","MoveInnate"
"EnemyRanger","1","EnemyArrow"
"EnemyRanger","2","EnemyArrow"
"EnemyRanger","3","EnemyArrow"
"EnemyRanger","4","EnemyArrow"
"EnemyRanger","5","MoveInnate"
"FlyingEye","1","WitheringGaze"
"FlyingEye","2","WitheringGaze"
"FlyingEye","3","WitheringGaze"
"FlyingEye","4","WitheringGaze"
"FlyingEye","5","MoveInnate"
"Goblin","1","Backstab"
"Goblin","2","Backstab"
"Goblin","3","Backstab"
"Goblin","4","Backstab"
"Goblin","5","MoveInnate"
"Golem","1","BoulderSmash"
"Golem","2","BoulderSmash"
"Golem","3","BoulderSmash"
"Golem","4","BoulderSmash"
"Golem","5","MoveInnate"
"HeavyBandit","1","HeavySwing"
"HeavyBandit","2","HeavySwing"
"HeavyBandit","3","HeavySwing"
"HeavyBandit","4","HeavySwing"
"HeavyBandit","5","MoveInnate"
"LightBandit","1","QuickCut"
"LightBandit","2","QuickCut"
"LightBandit","3","QuickCut"
"LightBandit","4","QuickCut"
"LightBandit","5","MoveInnate"
"Mimic","1","Chomp"
"Mimic","2","Chomp"
"Mimic","3","Chomp"
"Mimic","4","Chomp"
"Mimic","5","MoveInnate"
"Mushroom","1","SporeCloud"
"Mushroom","2","SporeCloud"
"Mushroom","3","SporeCloud"
"Mushroom","4","SporeCloud"
"Mushroom","5","MoveInnate"
"Pebble","1","Roll"
"Pebble","2","Roll"
"Pebble","3","Roll"
"Pebble","4","Roll"
"Pebble","5","MoveInnate"
"PlagueRat","1","PlagueBite"
"PlagueRat","2","PlagueBite"
"PlagueRat","3","PlagueBite"
"PlagueRat","4","PlagueBite"
"PlagueRat","5","MoveInnate"
"Rat","1","Gnaw"
"Rat","2","Gnaw"
"Rat","3","Gnaw"
"Rat","4","Gnaw"
"Rat","5","MoveInnate"
"Skeleton","1","BoneBulwark"
"Skeleton","2","BoneBulwark"
"Skeleton","3","BoneBulwark"
"Skeleton","4","BoneBulwark"
"Skeleton","5","MoveInnate"
"SkeletonWarrior","1","EnemySlash"
"SkeletonWarrior","2","MoveInnate"
"SkeletonWarrior","3","EnemySlash"
"SkeletonWarrior","4","EnemySlash"
"SkeletonWarrior","5","EnemySlash"
"Skull","1","BoneChill"
"Skull","2","BoneChill"
"Skull","3","BoneChill"
"Skull","4","BoneChill"
"Skull","5","MoveInnate"
"Slime","1","Engulf"
"Slime","2","Engulf"
"Slime","3","Engulf"
"Slime","4","Engulf"
"Slime","5","MoveInnate"
"SpikedSlime","1","SpikeBurst"
"SpikedSlime","2","SpikeBurst"
"SpikedSlime","3","SpikeBurst"
"SpikedSlime","4","SpikeBurst"
"SpikedSlime","5","MoveInnate"
"VampireBat","1","LifeLeech"
"VampireBat","2","LifeLeech"
"VampireBat","3","LifeLeech"
"VampireBat","4","LifeLeech"
"VampireBat","5","MoveInnate"
"BrittleSkeleton","1","BoneBulwark"
"BrittleSkeleton","2","BoneBulwark"
"BrittleSkeleton","3","BoneBulwark"
"BrittleSkeleton","4","MoveInnate"
"BrittleSkeleton","5","MoveInnate"
