"Key","Item Name","Rarity","Class","Slot","Mod Count","Modifier Types","Projects","Tunes Cards","Cards Named","Tags Named","No Reward","Issues"
"Boots of Speed","Boots of Speed","Rare","Any","Boots","1","CardTuningModifier","No","Yes","","Movement","FALSE",""
"Fire Mage's Hat","Fire Mage's Hat","Rare","Mage","Hat","1","CardTuningModifier","No","Yes","","Fire","FALSE",""
"Ironbound Vambrace","Ironbound Vambrace","Uncommon","Any","Armor","1","GrantBonusModifier","Yes","No","","","FALSE",""
"Long Lens","Longsword","Rare","Knight","Weapon","1","CardTuningModifier","No","Yes","","Attack","FALSE","display name 'Longsword' differs from Key 'Long Lens'"
"Sharpening Ring","Sharpening Ring","Uncommon","Knight","Weapon","1","DamageBonusModifier","Yes","No","","","FALSE",""
"Totem Anchor","Totem Anchor","Rare","Knight","Ring","1","SummonHealthModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Tower Shield","Buckler","Common","Any","Armor","1","GrantBonusModifier","Yes","No","","","FALSE","display name 'Buckler' differs from Key 'Tower Shield'"
"Weaken Ring","Weaken Ring","Uncommon","Mage","Ring","1","AppliedPotencyModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Amber Signet","Amber Signet","Common","Any","Ring","1","DamageBonusModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Astrologer's Loop","Astrologer's Loop","Rare","Any","Ring","1","ResourceModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Bloodshard Ring","Bloodshard Ring","Rare","Any","Ring","1","ConditionalDamageModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Bramblewreath","Bramblewreath","Uncommon","Any","Ring","1","ThornsModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Cascade Ring","Cascade Ring","Uncommon","Any","Ring","1","GrantBonusModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Cinderforge Ring","Cinderforge Ring","Rare","Any","Ring","1","CardTuningModifier","No","Yes","","Fire","FALSE","slot not set (defaults to Ring, unlimited)"
"Deathgrip Signet","Deathgrip Signet","Rare","Any","Ring","1","KillRewardModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Deepcoral Signet","Deepcoral Signet","Legendary","Any","Ring","1","DamageBonusModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Dread Sovereign","Dread Sovereign","Legendary","Any","Ring","2","AppliedPotencyModifier, KillRewardModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Emberwood Band","Emberwood Band","Uncommon","Any","Ring","1","CardTuningModifier","No","Yes","","Fire","FALSE","slot not set (defaults to Ring, unlimited)"
"Glacier Band","Glacier Band","Uncommon","Any","Ring","1","StatusGrantModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Harlequin Band","Harlequin Band","Common","Any","Ring","1","GrantBonusModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Manaflow Ring","Manaflow Ring","Common","Any","Ring","1","CardTuningModifier","No","Yes","","Defence","FALSE","slot not set (defaults to Ring, unlimited)"
"Marigold Band","Marigold Band","Uncommon","Any","Ring","1","StatusGrantModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Opaline Charm","Opaline Charm","Legendary","Any","Ring","1","ResourceModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Panther's Eye","Panther's Eye","Rare","Any","Ring","1","ConditionalDamageModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Rimeguard Band","Rimeguard Band","Uncommon","Any","Ring","1","StatusGrantModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Ring of Focus","Ring of Focus","Rare","Any","Ring","1","ResourceModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Seraph's Ward","Seraph's Ward","Legendary","Any","Ring","2","StatusGrantModifier, GrantBonusModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Serpent's Coil","Serpent's Coil","Uncommon","Any","Ring","1","StatusGrantModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Sporecap Ring","Sporecap Ring","Uncommon","Any","Ring","1","AppliedPotencyModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Stormsplit Ring","Stormsplit Ring","Rare","Any","Ring","1","ScalingDamageModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Vampire's Token","Vampire's Token","Rare","Any","Ring","1","StatusGrantModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Wardens' Braid","Wardens' Braid","Common","Any","Ring","1","GrantBonusModifier","Yes","No","","","FALSE","slot not set (defaults to Ring, unlimited)"
"Zephyr Ring","Zephyr Ring","Uncommon","Any","Ring","1","CardTuningModifier","No","Yes","","Movement","FALSE","slot not set (defaults to Ring, unlimited)"
