"Key","Folder","Item Name","Description","Effect Preview","Rarity","Class","Slot","No Reward","Modifier Summary","Mod Count","GUID","Sync","Notes"
"Boots of Speed","","Boots of Speed","Decrease the cost of movement by 1.","Cost -1","Rare","Any","Boots","FALSE","CardTuningModifier","1","cb28d281a6db23d40a920ce38608486e","Live",""
"Fire Mage's Hat","","Fire Mage's Hat","Fire cards gain a 3x3 splash.","Area: Chebyshev 0-1","Rare","Mage","Hat","FALSE","CardTuningModifier","1","539a747d8bc65bc46bd8eade9b5d7e70","Live",""
"Ironbound Vambrace","","Ironbound Vambrace","+1 Block whenever you gain Block.","Block +1 per grant","Uncommon","Any","Armor","FALSE","GrantBonusModifier","1","6bde503f81c56f142885567f558b543f","Live",""
"Long Lens","","Longsword","Attack cards gain +1 range.","Range +1","Rare","Knight","Weapon","FALSE","CardTuningModifier","1","a5f1ad9a6f7b32e4892c27e03079f2ec","Live",""
"Sharpening Ring","","Sharpening Ring","+1 damage on every attack.","+1 damage dealt","Uncommon","Knight","Weapon","FALSE","DamageBonusModifier","1","eb2d981e17702cd429478ce8aee66d84","Live",""
"Totem Anchor","","Totem Anchor","Totems you summon have +7 max health.","Totems: +10 max health","Rare","Knight","Ring","FALSE","SummonHealthModifier","1","a13cfd4aa91ed014f976397f823dccea","Live",""
"Tower Shield","","Buckler","When gaining Shield, gain an additional 2 stacks.","Shield +2 per grant","Common","Any","Armor","FALSE","GrantBonusModifier","1","bc731371c2971c742a551d54bca83e42","Live",""
"Weaken Ring","","Weaken Ring","The Weaken you apply cuts 1 deeper - your totems included.","Weaken you apply: +1","Uncommon","Mage","Ring","FALSE","AppliedPotencyModifier","1","85512a7c3918a0d4988dc995919f24d9","Live",""
"Amber Signet","Rings","Amber Signet","-1 damage from every hit taken.","-1 damage taken","Common","Any","Ring","FALSE","DamageBonusModifier","1","d79d9c7f044e99546bbdcd46f1bf60e0","Live",""
"Astrologer's Loop","Rings","Astrologer's Loop","+1 card drawn each turn.","+1 cards each turn","Rare","Any","Ring","FALSE","ResourceModifier","1","7bde568935c2bc64e817f19ee883b1de","Live",""
"Bloodshard Ring","Rings","Bloodshard Ring","+3 damage while below half health.","+3 damage while below half health","Rare","Any","Ring","FALSE","ConditionalDamageModifier","1","2608c7be7da3dc840a5501d17e1db021","Live",""
"Bramblewreath","Rings","Bramblewreath","Attackers take 2 damage.","Attackers take 2 damage","Uncommon","Any","Ring","FALSE","ThornsModifier","1","db96db7956dc2224297744e7b0caad6a","Live",""
"Cascade Ring","Rings","Cascade Ring","+1 Parry whenever you gain Parry.","Parry +1 per grant","Uncommon","Any","Ring","FALSE","GrantBonusModifier","1","131e0a862d3d5364691b5022ab2dc9b7","Live",""
"Cinderforge Ring","Rings","Cinderforge Ring","Fire cards deal +3 damage.","+3","Rare","Any","Ring","FALSE","CardTuningModifier","1","046860ea13c2f4d4eb6bc85ceeb7bdb3","Live",""
"Deathgrip Signet","Rings","Deathgrip Signet","Killing an enemy grants 1 energy.","Kills grant 1 energy","Rare","Any","Ring","FALSE","KillRewardModifier","1","af1dbbca5becf384e9a7dc7b4aab1d19","Live",""
"Deepcoral Signet","Rings","Deepcoral Signet","+2 damage dealt, -1 damage taken.","+2 dmg, -1 taken","Legendary","Any","Ring","FALSE","DamageBonusModifier","1","6b61448a6b1a85043bb3aec047e976b2","Live",""
"Dread Sovereign","Rings","Dread Sovereign","The Weaken you apply cuts 2 deeper. Killing an enemy grants 1 Strength.","Weaken you apply: +2 | Kills grant Strength 1","Legendary","Any","Ring","FALSE","AppliedPotencyModifier, KillRewardModifier","2","384357e58a665144b8e6243bf2779bce","Live",""
"Emberwood Band","Rings","Emberwood Band","Fire cards cost 1 less.","Cost -1","Uncommon","Any","Ring","FALSE","CardTuningModifier","1","6add3031dbe4dc44aa64bed9dee48124","Live",""
"Glacier Band","Rings","Glacier Band","Permanently under the effect of Shield 2.","Permanent Shield 2","Uncommon","Any","Ring","FALSE","StatusGrantModifier","1","e053f08dd4e77594182ccb5307e59386","Live",""
"Harlequin Band","Rings","Harlequin Band","+1 Dodge whenever you gain Dodge.","Dodge +1 per grant","Common","Any","Ring","FALSE","GrantBonusModifier","1","7fe436a4fc70d7b468666152ec19481a","Live",""
"Manaflow Ring","Rings","Manaflow Ring","Defence cards cost 1 less.","Cost -1","Common","Any","Ring","FALSE","CardTuningModifier","1","1f8dc71acb2df6a42b6d297b0a3a0fc4","Live",""
"Marigold Band","Rings","Marigold Band","Permanently under the effect of Regeneration 2.","Permanent Regeneration 2","Uncommon","Any","Ring","FALSE","StatusGrantModifier","1","694de4aa707485e4aa295f481130c4f1","Live",""
"Opaline Charm","Rings","Opaline Charm","+1 energy and +1 card each turn.","+1 energy, +1 cards each turn","Legendary","Any","Ring","FALSE","ResourceModifier","1","3b457afdbda824e4da5b5148ad3394a0","Live",""
"Panther's Eye","Rings","Panther's Eye","+3 damage while at full health.","+3 damage while at full health","Rare","Any","Ring","FALSE","ConditionalDamageModifier","1","1c712f8e0d0af794b8d05f34c31b5388","Live",""
"Rimeguard Band","Rings","Rimeguard Band","Permanently under the effect of Block 2.","Permanent Block 2","Uncommon","Any","Ring","FALSE","StatusGrantModifier","1","82d1448bcddc7d3488e8ed174c19d57b","Live",""
"Ring of Focus","Rings","Ring of Focus","+1 energy each turn.","+1 energy each turn","Rare","Any","Ring","FALSE","ResourceModifier","1","32b10e334a4b1cd4a9b7f0141bee8c80","Live",""
"Seraph's Ward","Rings","Seraph's Ward","Permanently under the effect of Shield 3, and +1 Shield whenever you gain Shield.","Permanent Shield 3 | Shield +1 per grant","Legendary","Any","Ring","FALSE","StatusGrantModifier, GrantBonusModifier","2","79a658d7ca03aa24e9ec0213a282c142","Live",""
"Serpent's Coil","Rings","Serpent's Coil","Permanently under the effect of Poison Blade.","Permanent PoisonBlade 1","Uncommon","Any","Ring","FALSE","StatusGrantModifier","1","7041612277fdd0a4d9f804983b02d7f2","Live",""
"Sporecap Ring","Rings","Sporecap Ring","The Vulnerable you apply cuts 1 deeper.","Vulnerable you apply: +1","Uncommon","Any","Ring","FALSE","AppliedPotencyModifier","1","586a2c7a7288e80469e4da1bd6f2bf60","Live",""
"Stormsplit Ring","Rings","Stormsplit Ring","+1 damage per Strength stack you hold.","+1 damage per Strength stack held","Rare","Any","Ring","FALSE","ScalingDamageModifier","1","d445cc9fc75c05e4180d7170c0e45ac2","Live",""
