"Item","Ord","Modifier Type","Describe","amount","bonus","bonusEnergy","bonusHandSize","condition","filter.cards","filter.tags","grantedStacks","grantedStatus","incomingReduction","outgoing","perStack","stacks","subject","totemsOnly","type","Mod Id","GUID","Sync","Notes"
"Boots of Speed","0","CardTuningModifier","Cost -1","","","","","","","Movement","","","","","","","","","","3818380670549257136","cb28d281a6db23d40a920ce38608486e","Live",""
"Fire Mage's Hat","0","CardTuningModifier","Area: Chebyshev 0-1","","","","","","","Fire","","","","","","","","","","726748210371769247","539a747d8bc65bc46bd8eade9b5d7e70","Live",""
"Ironbound Vambrace","0","GrantBonusModifier","Block +1 per grant","","1","","","","","","","","","","","","Block","","","618780541392997710","6bde503f81c56f142885567f558b543f","Live",""
"Long Lens","0","CardTuningModifier","Range +1","","","","","","","Attack","","","","","","","","","","9050544749300768188","a5f1ad9a6f7b32e4892c27e03079f2ec","Live",""
"Sharpening Ring","0","DamageBonusModifier","+1 damage dealt","","","","","","","","","","0","1","","","","","","7883266174486464902","eb2d981e17702cd429478ce8aee66d84","Live",""
"Totem Anchor","0","SummonHealthModifier","Totems: +10 max health","","10","","","","","","","","","","","","","TRUE","","-8637072470363726039","a13cfd4aa91ed014f976397f823dccea","Live",""
"Tower Shield","0","GrantBonusModifier","Shield +2 per grant","","2","","","","","","","","","","","","Shield","","","-6084113878368495311","bc731371c2971c742a551d54bca83e42","Live",""
"Weaken Ring","0","AppliedPotencyModifier","Weaken you apply: +1","","1","","","","","","","","","","","","Weaken","","","-5048316929138750051","85512a7c3918a0d4988dc995919f24d9","Live",""
"Amber Signet","0","DamageBonusModifier","-1 damage taken","","","","","","","","","","1","0","","","","","","888824822953810669","d79d9c7f044e99546bbdcd46f1bf60e0","Live",""
"Astrologer's Loop","0","ResourceModifier","+1 cards each turn","","","0","1","","","","","","","","","","","","","1934819906506109857","7bde568935c2bc64e817f19ee883b1de","Live",""
