"Level","Turn","Col","Row","Prefab","Deck"
"DebugParade1","0","2","5","BlackKnight",""
"DebugParade1","0","5","5","ReinforcedGolem",""
"DebugParade1","0","8","5","Reaper",""
"DebugParade1","0","1","6","SpikedSlime",""
"DebugParade1","0","4","6","Golem",""
"DebugParade1","0","7","6","LightBandit",""
"DebugParade1","0","2","7","Crab",""
"DebugParade1","0","5","7","Bat",""
"DebugParade1","0","8","7","VampireBat",""
"DebugParade1","0","1","8","Pebble",""
"DebugParade1","0","4","8","Rat",""
"DebugParade1","0","7","8","Skull",""
"DebugParade1","Party","2","1","P1",""
"DebugParade1","Party","4","1","P2",""
"DebugParade1","Party","6","1","P3",""
"DebugParade2","0","4","4","EvilKing",""
"DebugParade2","0","2","5","EvilWizard2",""
"DebugParade2","0","5","5","EvilWizard3",""
"DebugParade2","0","8","5","EvilKnight",""
"DebugParade2","0","1","6","FlyingEye",""
"DebugParade2","0","4","6","HeavyBandit",""
"DebugParade2","0","7","6","EvilWizard",""
"DebugParade2","0","2","7","Mimic",""
"DebugParade2","0","5","7","PlagueRat",""
"DebugParade2","0","8","7","Slime",""
"DebugParade2","0","1","8","Goblin",""
"DebugParade2","0","4","8","Mushroom",""
"DebugParade2","0","7","8","Skeleton",""
"DebugParade2","Party","2","1","P1",""
"DebugParade2","Party","4","1","P2",""
"DebugParade2","Party","6","1","P3",""
"Level1","0","3","5","SkeletonWarrior","EnemySlash|EnemySlash|MoveInnate|EnemySlash|EnemySlash"
"Level1","0","1","6","SkeletonWarrior","EnemySlash|EnemySlash|MoveInnate|EnemySlash|EnemySlash"
"Level1","0","5","6","SkeletonWarrior","EnemySlash|EnemySlash|MoveInnate|EnemySlash"
"Level1","2","1","6","EnemyRanger",""
"Level1","2","5","6","EnemyRanger",""
"Level1","3","2","6","SkeletonWarrior",""
"Level1","5","2","6","SkeletonWarrior",""
"Level1","5","5","6","SkeletonWarrior",""
"Level1","6","2","6","SkeletonWarrior",""
"Level1","6","5","6","SkeletonWarrior",""
"Level1","8","2","6","SkeletonWarrior",""
"Level1","8","5","6","SkeletonWarrior",""
"Level1","9","2","6","SkeletonWarrior",""
"Level1","9","5","6","SkeletonWarrior",""
"Level1","Party","3","4","P1",""
"Level1","Party","3","3","P2",""
"Level1","Party","4","1","P3",""
"Level1","Party","5","1","P4",""
"Level2","0","2","5","SkeletonWarrior",""
"Level2","0","5","5","SkeletonWarrior",""
"Level2","0","1","6","EnemyRanger",""
"Level2","0","6","6","EnemyRanger",""
"Level2","Party","3","4","P1",""
"Level2","Party","3","3","P2",""
"Level2","Party","4","4","P3",""
"Level2","Party","4","3","P4",""
"Level3Menagerie","0","2","6","Goblin",""
"Level3Menagerie","0","5","6","Crab",""
"Level3Menagerie","0","4","7","Rat",""
"Level3Menagerie","3","1","7","Bat",""
"Level3Menagerie","3","6","7","VampireBat",""
"Level3Menagerie","5","3","7","SpikedSlime",""
"Level3Menagerie","7","2","7","Skeleton",""
"Level3Menagerie","7","5","7","Mushroom",""
"Level3Menagerie","Party","2","1","P1",""
"Level3Menagerie","Party","4","1","P2",""
"Level3Menagerie","Party","3","2","P3",""
"Level4BlackKnight","0","2","6","HeavyBandit",""
"Level4BlackKnight","0","6","6","LightBandit",""
"Level4BlackKnight","0","4","7","BlackKnight",""
"Level4BlackKnight","4","1","7","Skull",""
"Level4BlackKnight","8","7","7","Skull",""
"Level4BlackKnight","Party","3","1","P1",""
"Level4BlackKnight","Party","5","1","P2",""
"Level4BlackKnight","Party","4","2","P3",""
"Tutorial","0","3","7","EnemyRangerTutorial",""
"Tutorial","Party","2","2","P1",""
"Tutorial","Party","3","2","P2",""
